X var,Y var,MIC (strength),MIC-p^2 (nonlinearity),MAS (non-monotonicity),MEV (functionality),MCN (complexity),Linear regression (p)
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Planctomycetes;c__[Brocadiae],0.45914,-0.054750144,0.0,0.45914,2.0,0.7168613
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__Spirochaetes;c__[Brevinematae],0.45914,0.44091254,0.0,0.45914,2.0,0.13500915
k__Bacteria;p__Verrucomicrobia;c__[Spartobacteria],k__Bacteria;p__TM6;c__SJA-4,0.45914,0.3608251,0.0,0.45914,2.0,0.31355208
k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],0.45914,0.3140369,0.0,0.45914,2.0,-0.380924
k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.45914,8.4006786E-4,0.0,0.45914,2.0,0.6769785
k__Bacteria;p__WPS-2;c__,k__Bacteria;p__Chloroflexi;c__TK17,0.45914,0.3947475,0.0,0.45914,2.0,0.25375682
k__Bacteria;p__WPS-2;c__,k__Bacteria;p__OD1;c__ZB2,0.45914,0.43407506,0.0,0.45914,2.0,0.15831909
k__Bacteria;p__WS1;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.45914,0.29101318,0.0,0.45914,2.0,-0.41003272
k__Bacteria;p__WS1;c__,k__Bacteria;p__Acidobacteria;c__RB25,0.45914,0.34237534,0.0,0.45914,2.0,-0.34170845
k__Bacteria;p__WS1;c__,k__Bacteria;p__Chloroflexi;Other,0.45914,0.40233725,0.0,0.45914,2.0,-0.2383333
k__Bacteria;p__WS1;c__,k__Bacteria;p__Chloroflexi;c__C0119,0.45914,0.32726437,0.0,0.45914,2.0,-0.36314687
k__Bacteria;p__WS1;c__,k__Bacteria;p__Chloroflexi;c__SAR202,0.45914,0.35194135,0.0,0.45914,2.0,-0.32741204
k__Bacteria;p__WS1;c__,k__Bacteria;p__Fibrobacteres;c__SBZC_2415,0.45914,0.38121653,0.0,0.45914,2.0,-0.27914777
k__Bacteria;p__WS1;c__,k__Bacteria;p__Planctomycetes;c__Pla4,0.45914,0.3915677,0.0,0.45914,2.0,-0.25994673
k__Bacteria;p__WS1;c__,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.45914,0.41642523,0.0,0.45914,2.0,-0.20667551
k__Bacteria;p__WS1;c__,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],0.45914,0.3067543,0.0,0.45914,2.0,-0.39036614
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Chloroflexi;c__SAR202,0.45914,0.11914945,0.0,0.45914,2.0,0.5830871
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.45914,0.07118681,0.0,0.45914,2.0,0.6228589
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__OD1;c__,0.45914,-0.088036835,0.0,0.45914,2.0,0.739714
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__OD1;c__Mb-NB09,0.45914,0.16260225,0.0,0.45914,2.0,0.5445528
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,0.45914,0.26461262,0.0,0.45914,2.0,0.44105262
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,0.45914,-0.018145025,0.0,0.45914,2.0,0.6908582
k__Bacteria;p__WS4;c__,k__Archaea;p__Crenarchaeota;c__MCG,0.45914,0.38542172,0.0,0.45914,2.0,-0.2715111
k__Bacteria;p__WS4;c__,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.45914,0.45459768,0.0,0.45914,2.0,0.067396805
k__Bacteria;p__WS4;c__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,0.45914,0.45899904,0.0,0.45914,2.0,0.011872527
k__Bacteria;p__WS4;c__,k__Bacteria;p__Acidobacteria;c__BPC102,0.45914,0.26219875,0.0,0.45914,2.0,-0.44378066
k__Bacteria;p__WS4;c__,k__Bacteria;p__Acidobacteria;c__iii1-8,0.45914,0.29113117,0.0,0.45914,2.0,0.4098888
k__Bacteria;p__WS4;c__,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.45914,-0.4145503,0.0,0.45914,2.0,0.934714
k__Bacteria;p__WS4;c__,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.45914,-0.49193585,0.0,0.45914,2.0,0.9752312
k__Bacteria;p__WS4;c__,k__Bacteria;p__Chlamydiae;c__Chlamydiia,0.45914,0.2375806,0.0,0.45914,2.0,0.47070098
k__Bacteria;p__WS4;c__,k__Bacteria;p__Chloroflexi;Other,0.45914,0.44213808,0.0,0.45914,2.0,0.1303915
k__Bacteria;p__WS4;c__,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.45914,-0.234236,0.0,0.45914,2.0,0.832692
k__Bacteria;p__WS4;c__,k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,0.45914,0.3316875,0.0,0.45914,2.0,-0.35700488
k__Bacteria;p__WS4;c__,k__Bacteria;p__GN04;c__GN15,0.45914,0.34353152,0.0,0.45914,2.0,0.3400125
k__Bacteria;p__WS4;c__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-2,0.45914,-0.032764226,0.0,0.45914,2.0,0.70135885
k__Bacteria;p__WS4;c__,k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,0.45914,0.23111746,0.0,0.45914,2.0,0.47751707
k__Bacteria;p__WS4;c__,k__Bacteria;p__OD1;c__ZB2,0.45914,0.15862975,0.0,0.45914,2.0,0.54818815
k__Bacteria;p__WS4;c__,k__Bacteria;p__Planctomycetes;c__BD7-11,0.45914,-0.45537722,0.0,0.45914,2.0,0.95630395
k__Bacteria;p__WS5;c__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,0.45914,0.2901787,0.0,0.45914,2.0,0.41104904
k__Bacteria;p__WS5;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.45914,0.44316515,0.0,0.45914,2.0,0.12639163
k__Bacteria;p__WS5;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteriia,0.45914,0.4433845,0.0,0.45914,2.0,-0.12552093
k__Bacteria;p__WS5;c__,k__Bacteria;p__Acidobacteria;c__OS-K,0.45914,-0.17099887,0.0,0.45914,2.0,0.7938129
k__Bacteria;p__WS5;c__,k__Bacteria;p__Acidobacteria;c__iii1-8,0.45914,0.31807107,0.0,0.45914,2.0,0.37559146
k__Bacteria;p__WS5;c__,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.45914,0.15896156,0.0,0.45914,2.0,0.5478854
k__Bacteria;p__WS5;c__,k__Bacteria;p__Bacteroidetes;c__,0.45914,0.4139535,0.0,0.45914,2.0,0.21257111
k__Bacteria;p__WS5;c__,k__Bacteria;p__Chlamydiae;c__Chlamydiia,0.45914,0.40951666,0.0,0.45914,2.0,0.22276294
k__Bacteria;p__WS5;c__,k__Bacteria;p__Chlorobi;c__Ignavibacteria,0.45914,0.3047608,0.0,0.45914,2.0,0.3929112
k__Bacteria;p__WS5;c__,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.45914,0.43377185,0.0,0.45914,2.0,-0.15927379
k__Bacteria;p__WS5;c__,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.45914,0.36368474,0.0,0.45914,2.0,0.30895835
k__Bacteria;p__WS5;c__,k__Bacteria;p__Chloroflexi;c__P2-11E,0.45914,0.33278432,0.0,0.45914,2.0,-0.35546544
k__Bacteria;p__WS5;c__,k__Bacteria;p__GN04;c__GN15,0.45914,0.32763857,0.0,0.45914,2.0,0.36263126
k__Bacteria;p__WS5;c__,k__Bacteria;p__OD1;c__,0.45914,0.29280198,0.0,0.45914,2.0,0.40784562
k__Bacteria;p__WS5;c__,k__Bacteria;p__OP3;c__PBS-25,0.45914,0.26600233,0.0,0.45914,2.0,0.4394743
k__Bacteria;p__WS5;c__,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,0.45914,0.45334628,0.0,0.45914,2.0,-0.0761165
k__Bacteria;p__WS5;c__,k__Bacteria;p__Planctomycetes;c__Pla3,0.45914,0.3798867,0.0,0.45914,2.0,0.28151962
k__Bacteria;p__WS5;c__,k__Bacteria;p__Proteobacteria;c__,0.45914,0.021338463,0.0,0.45914,2.0,0.66166574
k__Bacteria;p__WS5;c__,k__Bacteria;p__Proteobacteria;c__TA18,0.45914,0.27950427,0.0,0.45914,2.0,0.42383456
k__Bacteria;p__WS5;c__,k__Bacteria;p__Verrucomicrobia;c__Verrucomicrobiae,0.45914,0.41890475,0.0,0.45914,2.0,0.20058729
k__Bacteria;p__WS5;c__,k__Bacteria;p__Verrucomicrobia;c__[Methylacidiphilae],0.45914,0.45884776,0.0,0.45914,2.0,-0.017095271
k__Bacteria;p__WS5;c__,k__Bacteria;p__WS4;c__,0.45914,0.4588345,0.0,0.45914,2.0,0.01747859
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__Acidobacteria;c__DA052,0.45914,-0.30216128,0.0,0.45914,2.0,0.8725258
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__Chloroflexi;Other,0.45914,-0.32868594,0.0,0.45914,2.0,0.8875956
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__Chloroflexi;c__Ellin6529,0.45914,0.05868435,0.0,0.45914,2.0,0.63281566
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__Chloroflexi;c__Thermomicrobia,0.45914,0.21776585,0.0,0.45914,2.0,0.49129844
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__GN04;c__GN15,0.45914,0.4217867,0.0,0.45914,2.0,0.19327003
k__Bacteria;p__[Caldithrix];c__KSB1,k__Bacteria;p__Planctomycetes;c__OM190,0.45914,-0.072426975,0.0,0.45914,2.0,0.7290864
Richness_Avg,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.45914,0.4356028,0.0,0.45914,2.0,0.15341838
Richness_Avg,k__Bacteria;p__Bacteroidetes;c__Cytophagia,0.45914,0.33040518,0.0,0.45914,2.0,0.3587964
Richness_Avg,k__Bacteria;p__Chlorobi;c__OPB56,0.45914,0.3716092,0.0,0.45914,2.0,0.29585603
Richness_Avg,k__Bacteria;p__TM7;c__SC3,0.45914,0.4162157,0.0,0.45914,2.0,-0.20718183
PD_Avg,k__Bacteria;p__Acidobacteria;c__BPC102,0.45914,0.22056337,0.0,0.45914,2.0,0.48844308
PD_Avg,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.45914,0.25129512,0.0,0.45914,2.0,0.45590007
PD_Avg,k__Bacteria;p__Armatimonadetes;c__SHA-37,0.45914,0.23591177,0.0,0.45914,2.0,0.47247034
PD_Avg,k__Bacteria;p__OD1;c__ABY1,0.45914,0.1741142,0.0,0.45914,2.0,0.5338781
PD_Avg,k__Bacteria;p__OctSpA1-106;c__,0.45914,0.07947558,0.0,0.45914,2.0,0.61616915
PD_Avg,k__Bacteria;p__Planctomycetes;c__Pla3,0.45914,0.09307179,0.0,0.45914,2.0,0.6050357
PD_Avg,k__Bacteria;p__Planctomycetes;c__Planctomycetia,0.45914,0.25453287,0.0,0.45914,2.0,0.45233518
PD_Avg,k__Bacteria;p__SC4;c__,0.45914,0.39513806,0.0,0.45914,2.0,-0.25298604
PD_Avg,k__Bacteria;p__TM7;c__SC3,0.45914,0.16400802,0.0,0.45914,2.0,0.5432605
PD_Avg,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],0.45914,0.36808732,0.0,0.45914,2.0,0.30174938
Temperature,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.45914,0.1512141,0.0,0.45914,2.0,0.5549107
Temperature,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,0.45914,0.3163392,0.0,0.45914,2.0,0.37788996
Temperature,k__Bacteria;p__BRC1;c__PRR-11,0.45914,0.2219196,0.0,0.45914,2.0,0.48705277
Temperature,k__Bacteria;p__Bacteroidetes;c__BME43,0.45914,0.21794842,0.0,0.45914,2.0,0.4911126
Temperature,k__Bacteria;p__Chlorobi;Other,0.45914,0.15587744,0.0,0.45914,2.0,0.5506928
Temperature,k__Bacteria;p__Planctomycetes;c__Pla3,0.45914,-0.061302483,0.0,0.45914,2.0,0.721417
Temperature,k__Bacteria;p__Planctomycetes;c__Planctomycetia,0.45914,0.15275657,0.0,0.45914,2.0,0.5535191
Temperature,k__Bacteria;p__SC4;c__,0.45914,0.3849159,0.0,0.45914,2.0,-0.27244106
Temperature,k__Bacteria;p__Verrucomicrobia;c__[Pedosphaerae],0.45914,0.2655798,0.0,0.45914,2.0,0.4399548
Temperature,k__Bacteria;p__WPS-2;c__,0.45914,0.23290609,0.0,0.45914,2.0,0.47564054
OrganicMatter_500,k__Archaea;p__Crenarchaeota;c__MBGA,0.45914,0.29342735,0.0,0.45914,2.0,0.40707818
OrganicMatter_500,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.45914,0.24293828,0.0,0.45914,2.0,-0.46497497
OrganicMatter_500,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.45914,0.3382858,0.0,0.45914,2.0,-0.34764093
OrganicMatter_500,k__Bacteria;p__Armatimonadetes;c__Chthonomonadetes,0.45914,0.30440903,0.0,0.45914,2.0,-0.3933586
OrganicMatter_500,k__Bacteria;p__BRC1;c__PRR-11,0.45914,0.23901582,0.0,0.45914,2.0,-0.46917394
OrganicMatter_500,k__Bacteria;p__Bacteroidetes;c__BME43,0.45914,0.21251853,0.0,0.45914,2.0,-0.49661
OrganicMatter_500,k__Bacteria;p__Bacteroidetes;c__Flavobacteriia,0.45914,0.2188346,0.0,0.45914,2.0,-0.49020955
OrganicMatter_500,k__Bacteria;p__Chlorobi;Other,0.45914,0.18586624,0.0,0.45914,2.0,-0.5227559
OrganicMatter_500,k__Bacteria;p__LD1;c__,0.45914,0.21315846,0.0,0.45914,2.0,-0.49596527
OrganicMatter_500,k__Bacteria;p__OD1;c__ABY1,0.45914,0.23766664,0.0,0.45914,2.0,-0.47060958
OrganicMatter_500,k__Bacteria;p__Planctomycetes;c__ODP123,0.45914,0.35800698,0.0,0.45914,2.0,-0.31801417
OrganicMatter_500,k__Bacteria;p__Planctomycetes;c__Pla3,0.45914,0.24121709,0.0,0.45914,2.0,-0.46682215
OrganicMatter_500,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.45914,0.16753379,0.0,0.45914,2.0,-0.54000574
OrganicMatter_500,k__Bacteria;p__Proteobacteria;c__TA18,0.45914,0.09888443,0.0,0.45914,2.0,-0.60021293
NO3N_ppm,k__Bacteria;p__Acidobacteria;c__Sva0725,0.45914,0.38925716,0.0,0.45914,2.0,0.26435363
NO3N_ppm,k__Bacteria;p__Actinobacteria;c__Acidimicrobiia,0.45914,0.33510977,0.0,0.45914,2.0,-0.35217926
NO3N_ppm,k__Bacteria;p__Chloroflexi;c__Gitt-GS-136,0.45914,0.34960026,0.0,0.45914,2.0,-0.3309679
NH4N.ppm,k__Bacteria;p__Proteobacteria;Other,0.45914,0.32815856,0.0,0.45914,2.0,-0.3619136
pH,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.45914,0.42750174,0.0,0.45914,2.0,-0.1778715
pH,k__Bacteria;p__Elusimicrobia;c__Endomicrobia,0.45914,0.39662844,0.0,0.45914,2.0,-0.25002316
SulfateSulfur_ppm,k__Archaea;p__Crenarchaeota;c__Thaumarchaeota,0.45914,0.4580664,0.0,0.45914,2.0,-0.03276598
SulfateSulfur_ppm,k__Bacteria;p__Armatimonadetes;c__Armatimonadia,0.45914,-0.2818225,0.0,0.45914,2.0,0.8607918
SulfateSulfur_ppm,k__Bacteria;p__Armatimonadetes;c__[Fimbriimonadia],0.45914,0.4407997,0.0,0.45914,2.0,-0.13542627
SulfateSulfur_ppm,k__Bacteria;p__Chlorobi;c__OPB56,0.45914,0.45890304,0.0,0.45914,2.0,0.015393597
SulfateSulfur_ppm,k__Bacteria;p__Chloroflexi;c__TK17,0.45914,0.36358023,0.0,0.45914,2.0,0.30912742
SulfateSulfur_ppm,k__Bacteria;p__Cyanobacteria;c__,0.45914,0.2082861,0.0,0.45914,2.0,0.5008532
SulfateSulfur_ppm,k__Bacteria;p__Firmicutes;c__Clostridia,0.45914,0.39425528,0.0,0.45914,2.0,0.25472483
SulfateSulfur_ppm,k__Bacteria;p__GN04;c__MSB-5A5,0.45914,0.45781082,0.0,0.45914,2.0,0.036458004
Ca_ppm,k__Bacteria;p__;c__,0.45914,0.34320396,0.0,0.45914,2.0,-0.3404938
Ca_ppm,k__Bacteria;p__Planctomycetes;c__C6,0.45914,0.3698501,0.0,0.45914,2.0,-0.29881418
Ca_ppm,pH,0.45914,0.4111946,0.0,0.45914,2.0,0.21896443
Mg_ppm,k__Bacteria;p__Acidobacteria;Other,0.45914,0.32926053,0.0,0.45914,2.0,-0.36038795
Mg_ppm,k__Bacteria;p__Acidobacteria;c__EC1113,0.45914,0.37905687,0.0,0.45914,2.0,-0.28298962
Mg_ppm,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.45914,-0.24585927,0.0,0.45914,2.0,0.83964235
Mg_ppm,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],0.45914,-0.08872807,0.0,0.45914,2.0,0.7401811
Mg_ppm,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.45914,0.32060593,0.0,0.45914,2.0,0.37220165
Mg_ppm,k__Bacteria;p__Chloroflexi;c__SHA-26,0.45914,-0.19864255,0.0,0.45914,2.0,0.81103796
Mg_ppm,k__Bacteria;p__Planctomycetes;c__ODP123,0.45914,0.43541542,0.0,0.45914,2.0,0.1540279
Mg_ppm,SulfateSulfur_ppm,0.45914,-0.18550664,0.0,0.45914,2.0,0.8028989
Fe_ppm,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],0.45914,0.36746222,0.0,0.45914,2.0,0.3027834
Fe_ppm,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.45914,0.2516039,0.0,0.45914,2.0,0.45556128
Fe_ppm,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.45914,0.23532405,0.0,0.45914,2.0,0.4730919
Fe_ppm,k__Bacteria;p__Chloroflexi;c__SAR202,0.45914,0.31069368,0.0,0.45914,2.0,0.38528734
Fe_ppm,k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,0.45914,0.4006801,0.0,0.45914,2.0,0.24178483
Fe_ppm,k__Bacteria;p__Planctomycetes;c__ODP123,0.45914,0.31552786,0.0,0.45914,2.0,0.37896192
Iron_ppm,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.45914,0.33264068,0.0,0.45914,2.0,-0.35566744
Iron_ppm,k__Bacteria;p__Acidobacteria;c__OS-K,0.45914,0.36795595,0.0,0.45914,2.0,-0.30196697
Iron_ppm,k__Bacteria;p__Acidobacteria;c__RB25,0.45914,0.41683903,0.0,0.45914,2.0,-0.20567197
Iron_ppm,k__Bacteria;p__Acidobacteria;c__Solibacteres,0.45914,0.41429907,0.0,0.45914,2.0,-0.21175675
Iron_ppm,k__Bacteria;p__Acidobacteria;c__iii1-8,0.45914,0.3675683,0.0,0.45914,2.0,-0.30260813
Iron_ppm,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.45914,0.39770576,0.0,0.45914,2.0,-0.2478593
Iron_ppm,k__Bacteria;p__Chlamydiae;c__Chlamydiia,0.45914,0.16888112,0.0,0.45914,2.0,-0.5387568
Iron_ppm,k__Bacteria;p__Chloroflexi;c__Ktedonobacteria,0.45914,0.4224621,0.0,0.45914,2.0,-0.19151473
Iron_ppm,k__Bacteria;p__FCPU426;c__,0.45914,0.3914547,0.0,0.45914,2.0,-0.26016402
Iron_ppm,k__Bacteria;p__Planctomycetes;c__Phycisphaerae,0.45914,0.4176106,0.0,0.45914,2.0,-0.20378765
k__Bacteria;p__Firmicutes;c__Bacilli,k__Bacteria;p__Chloroflexi;c__TK10,0.4581,0.23286998,0.0,0.4581,2.0,0.47458404
k__Bacteria;p__GOUTA4;c__,k__Bacteria;p__Bacteroidetes;c__[Saprospirae],0.4581,-0.3765371,0.0,0.4581,2.0,0.91358477
k__Bacteria;p__Gemmatimonadetes;c__Gemm-1,k__Bacteria;p__BHI80-139;c__,0.4581,0.43234304,0.0,0.4581,2.0,-0.16048972
k__Bacteria;p__Gemmatimonadetes;c__Gemm-3,k__Bacteria;p__GOUTA4;c__,0.4581,-0.35875168,0.0,0.4581,2.0,0.90379846
k__Bacteria;p__NKB19;c__,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,0.4581,-0.24959514,0.0,0.4581,2.0,0.8412462
k__Bacteria;p__OP3;c__PBS-25,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,0.4581,0.1374532,0.0,0.4581,2.0,0.5662568
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Actinobacteria;c__Thermoleophilia,0.4581,0.2812339,0.0,0.4581,2.0,0.42055452
k__Bacteria;p__WS3;c__PRR-12,k__Bacteria;p__Planctomycetes;c__Pla4,0.4581,0.21044464,0.0,0.4581,2.0,0.49764982
k__Bacteria;p__[Thermi];c__Deinococci,k__Archaea;p__Euryarchaeota;c__Methanomicrobia,0.4581,0.24539755,0.0,0.4581,2.0,0.46119675
k__Bacteria;p__[Thermi];c__Deinococci,k__Bacteria;p__WS3;c__PRR-12,0.4581,0.08811507,0.0,0.4581,2.0,0.60826385
k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,k__Bacteria;p__Acidobacteria;c__AT-s2-57,0.42821,-0.22381845,0.0,0.42821,2.0,0.8074828
k__Bacteria;p__Acidobacteria;c__S035,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,0.42821,-0.357829,0.0,0.42821,2.0,0.8865884
k__Bacteria;p__Actinobacteria;c__Actinobacteria,k__Bacteria;p__Acidobacteria;c__TM1,0.42821,0.1833549,0.0,0.42821,2.0,0.49482834
k__Bacteria;p__Actinobacteria;c__Rubrobacteria,k__Bacteria;p__Acidobacteria;c__Solibacteres,0.42821,0.39943516,0.0,0.42821,2.0,0.16963144
k__Bacteria;p__Armatimonadetes;c__SJA-176,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.42821,0.4247612,0.0,0.42821,2.0,-0.058726452
k__Bacteria;p__Chlorobi;c__SJA-28,k__Archaea;p__Crenarchaeota;c__MCG,0.42821,0.27351308,0.0,0.42821,2.0,-0.39331526
k__Bacteria;p__Chlorobi;c__SJA-28,k__Archaea;p__[Parvarchaeota];c__[Parvarchaea],0.42821,0.3642241,0.0,0.42821,2.0,-0.25295433
k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Acidobacteria;c__OS-K,0.42821,0.28894803,0.0,0.42821,2.0,0.37317818
k__Bacteria;p__Chlorobi;c__SJA-28,k__Bacteria;p__Acidobacteria;c__[Chloracidobacteria],0.42821,0.25189093,0.0,0.42821,2.0,-0.41990364
k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Acidobacteria;c__Acidobacteria-6,0.42821,-0.1721684,0.0,0.42821,2.0,0.7748409
k__Bacteria;p__Chloroflexi;c__,k__Bacteria;p__Actinobacteria;c__OPB41,0.42821,-0.14774641,0.0,0.42821,2.0,0.7589179
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,0.42821,-0.44336215,0.0,0.42821,2.0,0.9335803
k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,k__Bacteria;p__Chloroflexi;c__,0.42821,-0.38900748,0.0,0.42821,2.0,0.9040008
k__Bacteria;p__Chloroflexi;c__P2-11E,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,0.42821,0.3290642,0.0,0.42821,2.0,-0.31487423
k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Acidobacteria;c__TM1,0.42821,0.10051224,0.0,0.42821,2.0,0.5724489
k__Bacteria;p__Chloroflexi;c__S085,k__Bacteria;p__Armatimonadetes;c__SJA-176,0.42821,0.42514,0.0,0.42821,2.0,-0.055407435
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.42821,0.42815876,0.0,0.42821,2.0,0.007157834
k__Bacteria;p__Cyanobacteria;c__Nostocophycideae,k__Bacteria;p__Chloroflexi;c__S085,0.42821,0.42740047,0.0,0.42821,2.0,0.028452152
k__Bacteria;p__FBP;c__,k__Bacteria;p__Bacteroidetes;c__VC2_1_Bac22,0.42821,0.31802455,0.0,0.42821,2.0,0.33194193
k__Bacteria;p__FBP;c__,k__Bacteria;p__Chlorobi;Other,0.42821,0.33768493,0.0,0.42821,2.0,0.30087385
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Acidobacteria;c__Acidobacteria-5,0.42821,0.40168655,0.0,0.42821,2.0,-0.16286014
k__Bacteria;p__Fibrobacteres;c__Fibrobacteria,k__Bacteria;p__Chloroflexi;c__,0.42821,0.40607592,0.0,0.42821,2.0,-0.1487752
k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Archaea;p__Crenarchaeota;c__Thermoprotei,0.42821,0.3939773,0.0,0.42821,2.0,-0.18502076
k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Bacteria;p__Actinobacteria;c__OPB41,0.42821,-0.2915468,0.0,0.42821,2.0,0.8483848
k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Bacteria;p__Armatimonadetes;c__0319-6E2,0.42821,0.03702146,0.0,0.42821,2.0,0.6254507
k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Bacteria;p__Bacteroidetes;c__[Rhodothermi],0.42821,0.3746568,0.0,0.42821,2.0,0.23141561
k__Bacteria;p__Fibrobacteres;c__SBZC_2415,k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes,0.42821,-0.47308317,0.0,0.42821,2.0,0.9493646
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Actinobacteria;c__Actinobacteria,0.42821,0.42582354,0.0,0.42821,2.0,0.048851192
k__Bacteria;p__Fusobacteria;c__Fusobacteriia,k__Bacteria;p__Chloroflexi;c__S085,0.42821,0.42036393,0.0,0.42821,2.0,0.088577926
k__Bacteria;p__GN04;c__,k__Bacteria;p__Chlorobi;c__SJA-28,0.42821,0.32019037,0.0,0.42821,2.0,0.32866338
k__Bacteria;p__GN04;c__,k__Bacteria;p__Cyanobacteria;c__Synechococcophycideae,0.42821,0.41491988,0.0,0.42821,2.0,-0.11528267
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Acidobacteria;Other,0.42821,0.37075517,0.0,0.42821,2.0,-0.23969737
k__Bacteria;p__Gemmatimonadetes;c__Gemmatimonadetes,k__Bacteria;p__Actinobacteria;c__Rubrobacteria,0.42821,0.12846717,0.0,0.42821,2.0,0.54748774
k__Bacteria;p__LD1;c__,k__Bacteria;p__Chlorobi;c__SJA-28,0.42821,0.33469617,0.0,0.42821,2.0,0.30580032
k__Bacteria;p__NKB19;c__TSBW08,k__Archaea;p__[Parvarchaeota];c__[Parvarchaea],0.42821,0.3900957,0.0,0.42821,2.0,-0.19522877
k__Bacteria;p__NKB19;c__TSBW08,k__Bacteria;p__Acidobacteria;c__RB25,0.42821,0.31823683,0.0,0.42821,2.0,0.331622
